gene_name	number_of_transposon_per_gene	number_of_read_pergene
YCR102W-A 	6 	9 	
PAU3 	3 	7 	
ADH7 	45 	703 	
RDS1 	47 	958 	
AAD3 	45 	1440 	
YCR108C 	2 	30 	
COS7 	35 	373 	
YDL247W-A 	1 	0 	
MPH2 	77 	1038 	
SOR2 	77 	1615 	
HXT15 	51 	652 	
THI13 	23 	250 	
AAD4 	42 	634 	
YDL242W 	15 	187 	
YDL241W 	30 	786 	
YDL240C-A 	3 	4 	
LRG1 	157 	3664 	
ADY3 	108 	1733 	
GUD1 	84 	1889 	
AIM6 	70 	950 	
PHO13 	119 	3229 	
YPD1 	31 	741 	
GYP7 	190 	4945 	
MFG1 	62 	1399 	
OST4 	8 	312 	
BRE4 	237 	6038 	
PTP1 	67 	1821 	
SSB1 	192 	7652 	
YDL228C 	107 	4055 	
HO 	58 	1907 	
GCS1 	47 	711 	
SHS1 	137 	2520 	
WHI4 	53 	541 	
HBT1 	170 	5672 	
FMP45 	80 	3241 	
YDL221W 	62 	2054 	
CDC13 	93 	3765 	
DTD1 	23 	134 	
YDL218W 	12 	65 	
TIM22 	104 	3608 	
RRI1 	262 	9229 	
GDH2 	281 	11158 	
PRR2 	159 	3930 	
NOP6 	6 	25 	
SHR3 	5 	17 	
YDL211C 	64 	2205 	
UGA4 	80 	2114 	
CWC2 	58 	1414 	
NHP2 	27 	739 	
GLE1 	75 	2204 	
YDL206W 	127 	3285 	
HEM3 	73 	2340 	
RTN2 	74 	1440 	
ACK1 	40 	361 	
MRPL11 	15 	175 	
TRM8 	45 	1501 	
MGT1 	2 	14 	
YDL199C 	60 	859 	
GGC1 	14 	168 	
ASF2 	80 	1651 	
YDL196W 	21 	464 	
SEC31 	285 	7829 	
SNF3 	174 	5580 	
NUS1 	84 	3113 	
ARF1 	20 	297 	
RPL35A 	44 	761 	
UFD2 	158 	4395 	
RBS1 	48 	770 	
PPH22 	120 	5675 	
YDL187C 	0 	0 	
YDL186W 	5 	43 	
YDL185C-A 	3 	28 	
VMA1 	290 	8893 	
RPL41A 	10 	89 	
YDL183C 	17 	231 	
LYS20 	57 	738 	
INH1 	4 	9 	
YDL180W 	179 	5170 	
PCL9 	210 	12828 	
DLD2 	155 	2756 	
YDL177C 	121 	3203 	
YDL176W 	203 	9541 	
